,Business,distance,price,rating,Popular,Location
198,Lincoln Tavern & Restaurant,2325.654498122,2,4.0,468,"['425 W Broadway', 'Boston, MA 02127']"
199,Corner Cafe,2330.275717932,1,4.0,50,"['87 Prince St', 'Boston, MA 02113']"
200,South Boston Chinese Restaurant,2337.712478072,1,3.0,24,"['429 W Broadway', 'Boston, MA 02127']"
201,Atlantic Beer Garden,2340.2582930179997,2,2.5,330,"['146 Northern Ave', 'Boston, MA 02110']"
202,Boston Sail Loft,2346.905671888,2,4.0,362,"['80 Atlantic Ave', 'Boston, MA 02110']"
203,Infinite Beauty Med Spa,2358.350010496,2,4.5,7,"['157 Seaport Blvd', 'Boston, MA 02210']"
204,Whiskey Priest,2358.88447231,2,2.5,360,"['150 Northern Ave', 'Boston, MA 02210']"
205,Bar Louie,2392.955648516,2,2.5,169,"['121 Brookline Ave', 'Boston, MA 02215']"
206,The Cheese Shop,2402.2231938399996,3,4.5,4,"['20 Fleet St', 'Boston, MA 02113']"
207,SleepAfloat - Boston,2418.5713523619997,3,4.5,3,"['28 Atlantic Ave', 'Boston, MA 02110']"
208,Harvard Vanguard - Kenmore,2434.998851346,3,3.0,68,"['133 Brookline Ave', 'Boston, MA 02215']"
209,Star Market,2446.8043258499997,1,2.0,19,"['33 Kilmarnock St', 'Boston, MA 02215']"
210,Four Winds Bar and Grill,2455.064424334,2,4.0,31,"['266 Commercial St', 'Boston, MA 02109']"
211,McGoo's Pizza,2491.698635424,1,3.0,42,"['479 W Broadway', 'South Boston, MA 02127']"
212,Holiday Inn Express Boston,2502.0737285359996,2,3.5,34,"['69 Boston St', 'Boston, MA 02125']"
213,Renaissance Boston Waterfront Hotel,2622.146907804,3,4.0,156,"['606 Congress St', 'Boston, MA 02210']"
214,Chicago Pizza,2625.348367866,1,2.0,120,"['239 Massachusetts Ave', 'Cambridge, MA 02139']"
215,Rocco's Cucina & Bar,2633.7748721059997,2,3.5,102,"['450 Commercial St', 'Boston, MA 02109']"
216,"Battery Wharf Hotel, Boston Waterfront",2645.42906865,3,3.5,35,"['Three Battery Wharf', 'Boston, MA 02109']"
217,Domino's Pizza,2658.051766006,2,1.5,82,"['1400 Tremont St', 'Roxbury Crossing Station - Space D', 'Roxbury Crossing, MA 02120']"
218,Legal Test Kitchen,2661.727337632,2,3.5,614,"['225 Northern Ave', 'Boston, MA 02210']"
219,Tony C's Sports Bar & Grill,2681.0685466859995,2,2.5,400,"['250 Northern Ave', 'Boston, MA 02210']"
220,Temazcal Tequila Cantina,2703.9042766159996,3,3.0,608,"['250 Northern Ave', 'Boston, MA 02210']"
221,The Automatic Food & Drink,2762.3295950419997,2,4.0,26,"['50 Hampshire St', 'Cambridge, MA 02139']"
222,Adam's Pizza & Convenience Store,2767.669063294,2,2.5,11,"['120 Blackstone St', 'Boston, MA 02109']"
223,Hampton Inn Boston Cambridge,2787.772133904,2,3.0,54,"['191 Monsignor Obrien Hwy', 'Cambridge, MA 02141']"
224,Insomnia Cookies,2814.1065689939996,1,3.0,69,"['708 Commonwealth Ave', 'Boston, MA 02215']"
225,Bass Lessons Unlimited,2847.402526122,2,5.0,5,"['171 Windsor St', 'Cambridge, MA 02139']"
226,Le Méridien,2849.45556116,3,3.5,150,"['20 Sidney St', 'Cambridge, MA 02139']"
227,Fairfield Inn & Suites Boston/Cambridge,2886.7001949119995,2,4.0,23,"[""215 Monsignor O'Brein Hwy"", 'Cambridge, MA 02141']"
228,"Hyatt Regency Cambridge, Overlooking Boston",2904.751035154,3,3.0,214,"['575 Memorial Dr', 'Cambridge, MA 02139']"
229,Holiday Inn Express Hotel & Suites Boston,2948.862239884,2,3.5,45,"[""250 Monsignor O'Brien Hwy"", 'Cambridge, MA 02141']"
230,Lone Star Taco Bar,2989.721934078,2,4.0,162,"['635 Cambridge St', 'Cambridge, MA 02141']"
231,Cafe Dilara,3011.9195606979997,1,2.0,67,"['645 Cambridge St', 'Cambridge, MA 02141']"
232,thirst,3017.5535381699997,2,4.5,6,"['645 E 2nd St', 'Boston, MA 02127']"
233,Venetian Garden,3021.385698578,3,2.5,4,"['1269 Massachusetts Ave', 'Dorchester, MA 02125']"
234,Clover,3073.7298039459997,1,4.0,88,"['496 Mass Ave', 'Cambridge, MA 02139']"
235,The Inn at Longwood Medical,3093.01307676,2,2.5,56,"['342 Longwood Ave', 'Boston, MA 02115']"
236,The Mission Bar & Grill,3187.6264972279996,2,3.5,261,"['724 Huntington Ave', 'Boston, MA 02120']"
237,Au Bon Pain,3201.047749092,1,3.0,17,"['75 Francis St', 'Boston, MA 02115']"
238,Tedeschi Food Shops,3214.320458874,2,2.5,4,"['187 E Cottage St', 'Dorchester, MA 02125']"
239,Green Street,3282.7650453379997,2,4.0,643,"['280 Green St', 'Cambridge, MA 02139']"
240,Domino's Pizza,3313.4308581039995,1,2.0,17,"['277 Main St', '# 279', 'Charlestown, MA 02129']"
241,Tedeschi Food Shops,3447.8331179300003,1,4.5,2,"['321 Broadway', 'Cambridge, MA 02139']"
242,La Cancun,3489.336548124,2,4.0,65,"['192 Sumner St', 'Boston, MA 02128']"
243,Eddie C's Bar,3593.703534596,1,4.0,21,"['34 Maverick Sq', 'Boston, MA 02128']"
244,Holiday Inn Boston-Brookline,3697.1287353,2,2.0,83,"['1200 Beacon St', 'Brookline, MA 02446']"
245,Courtyard by Marriott Boston Cambridge,3787.843529618,3,3.5,45,"['777 Memorial Dr', 'Cambridge, MA 02139']"
246,Wok N Talk,3797.758673358,1,2.5,184,"['23 S Huntington Ave', 'Jamaica Plain, MA 02130']"
247,Courtyard by Marriott Boston Cambridge,3800.3363532359995,2,4.0,15,"['777 Memorial Dr', 'Cambridge, MA 02139']"
248,Joseph's Sub Shop and Pizza,3809.1568239079998,1,3.5,74,"['8 S Huntington Ave', 'Jamaica Plain, MA 02130']"
249,Hyatt Regency Boston Harbor,3817.9360954759995,3,4.0,145,"['101 Harborside Dr', 'Boston, MA 02128']"
250,Young Kong Restaurant,3824.1504009519995,1,1.5,9,"['300A Centre St', 'Jamaica Plain, MA 02130']"
251,Holiday Inn Boston Bunker Hill Area,3827.2963387839995,2,3.5,67,"['30 Washington St', 'Somerville, MA 02143']"
252,Paal,3841.8492785359995,2,3.0,1,"['42 Gove St', 'Boston, MA 02128']"
253,enVision Hotel Boston-Longwood,3879.293792316,2,4.5,29,"['81 South Huntington Ave', 'Boston, MA 02130']"
254,On scene Limousine,3880.452195248,,5.0,2,"['Boston, MA 02125']"
255,La Hacienda Restaurant and Bar,3913.21159842,2,4.0,110,"['150 Meridian St', 'East Boston, MA 02128']"
256,Walgreens,3989.2344060099995,2,2.5,3,"['1 Central Sq', 'East Boston, MA 02128']"
257,Paradise Rock Club,3990.28530503,2,4.0,349,"['967 Commonwealth Ave', 'Boston, MA 02215']"
258,Fugakyu Japanese Cuisine,3993.4891791019995,3,4.0,1031,"['1280 Beacon St', 'Brookline, MA 02446']"
259,T's Pub,4014.2659194359994,2,3.0,99,"['973 Commonwealth Ave', 'Boston, MA 02215']"
260,CVS Pharmacy,4039.43615797,1,2.5,5,"['210 Border St', 'Boston, MA 02128']"
261,La Gran Manzana,4049.8913962139995,2,5.0,5,"['22 Central Sq', 'East Boston, MA 02128']"
262,Embassy Suites Boston,4090.3168904759996,3,3.0,95,"['207 Porter St', 'Boston, MA 02128']"
263,Bohemios,4106.832420358,2,2.5,2,"['30 Benington St', 'Boston, MA 02128']"
264,The Frogmore,4147.720278002,2,4.0,111,"['365 Centre St', 'Boston, MA 02130']"
265,Grainne O Malleys,4160.770094194,2,4.0,25,"['201 Harvard St', 'Brookline, MA 02446']"
266,National Car Rental,4189.604156171999,2,3.5,48,"['15 Transportation Way', 'East Boston, MA 02128']"
267,Kayuga,4201.50554734,2,3.5,167,"['1030 Commonwealth Ave', 'Boston, MA 02215']"
268,Magnolia Smokehouse,4229.143386896,2,3.0,33,"['6 Harvard Square', 'Brookline, MA 02445']"
269,Coolidge Corner Clubhouse,4270.061500132,2,3.0,377,"['307 Harvard St', 'Brookline, MA 02446']"
270,Canton Eatery,4299.860844242,2,2.5,41,"['339 Meridian St', 'Boston, MA 02128']"
271,Courtyard by Marriott Boston Brookline,4307.644899954,2,2.5,50,"['40 Webster Street Coolidge Corner', 'Brookline, MA 02446']"
272,Star Market,4332.35454538,2,3.0,111,"['1065 Commonwealth Ave', 'Boston, MA 02215']"
273,Pacheco Welding,4347.9976520479995,,5.0,1,"['1086 Commonwealth Ave', 'Boston, MA 02215']"
274,Jose Allende: Jazz-Latin-Classical Guitar,4380.057314188,2,5.0,18,"['Somerville, MA 02143']"
275,Homewood Suites By Hilton - Boston Brookline,4450.77380593,2,4.0,6,"['111 Boylston St', 'Brookline, MA 02445']"
276,Hilton Boston Logan Airport,4491.984336244,3,3.5,175,"['1 Hotel Dr', 'Boston, MA 02128']"
277,Biff's Lounge,4553.023544698,1,3.0,2,"['18-24 Washington St', 'Dorchester, MA 02121']"
278,Hong Kong,4579.0412616759995,2,3.0,445,"['1238 Massachusetts Ave', 'Cambridge, MA 31210']"
279,Loga Airport Gulf,4599.247490979999,2,3.5,12,"['100 Service Rd', 'Boston, MA 02128']"
280,Insomnia Cookies,4687.768915811999,1,3.5,130,"['65 Mount Auburn St', 'Cambridge, MA 02138']"
281,Peggy O'Neil's,4773.1460121519995,2,3.5,13,"['1310 Dorchester Ave', 'Dorchester, MA 02122']"
282,La Chiva Restaurant,4813.951310654,1,3.5,31,"['259 Bennington St', 'Boston, MA 02128']"
283,El Jefe's Taqueria,4830.392328094,1,3.5,75,"['83 Mt Auburn St', 'Cambridge, MA 02138']"
284,Harvard Square,4852.62519926,2,3.5,141,"['18 Brattle St', 'Cambridge, MA 02138']"
285,Tasty Burger,4853.030431072,1,3.0,409,"['40 Jfk St', 'Cambridge, MA 02138']"
286,Great Scott,4883.75788156,1,4.0,184,"['1222 Commonwealth Ave', 'Allston, MA 02134']"
287,CVS,4900.64790486,2,2.5,33,"['1426 Massachusetts Ave', 'Cambridge, MA 02138']"
288,Pizza Days,4913.46307928,2,2.5,126,"['111 Brighton Ave', 'Allston, MA 02134']"
289,White Horse Tavern,4914.848721019999,2,3.0,321,"['116 Brighton Ave', 'Allston, MA 02134']"
290,Wonder Bar,4928.352692959999,2,2.5,201,"['186 Harvard Ave', 'Allston, MA 02134']"
291,IHOP,4929.21690854,1,2.5,114,"['16 Eliot St', 'Unit 18', 'Cambridge, MA 02138']"
292,Chinese Dragon,4984.9708835,2,2.5,49,"['380 Chelsea St', 'Boston, MA 02128']"
293,Great Chef Chinese Food Day Square,5006.091700726,2,3.0,33,"['390 Chelsea St', 'Boston, MA 02128']"
294,Cafe Mitti's,5008.445682344,1,2.0,96,"['140 Brighton Ave', 'Allston, MA 02134']"
295,Harvard Square Hotel,5010.851806578,3,3.0,42,"['110 Mount Auburn St', 'Cambridge, MA 02138']"
296,Dumpling Kingdom,5017.768749897999,2,3.0,77,"['137 Harvard Ave', 'Allston, MA 02134']"
297,The Avenue,5019.843028224,1,4.0,289,"['1249 Commonwealth Ave', 'Allston, MA 02134']"
298,Sweet Kingdom,5023.66102644,2,3.0,92,"['145 Harvard Ave', 'Allston, MA 02134']"
299,Market In the Square,5028.347263586,3,3.0,132,"['60 Church St', 'Cambridge, MA 02138']"
300,Noir,5039.253921699999,2,3.5,229,"['1 Bennett St', 'Cambridge, MA 02138']"
301,Jeveli's Restaurant,5053.48531532,2,3.5,139,"['387 Chelsea St', 'Boston, MA 02128']"
302,The Common Ground,5053.88765032,2,3.5,291,"['85 Harvard Ave', 'Allston, MA 02134']"
303,Azama Grill,5064.391973434,1,3.5,220,"['54 Harvard Ave', 'Allston, MA 02134']"
304,Night Star Convenience,5072.1488313,1,5.0,6,"['63 Harvard Ave', 'Boston, MA 02134']"
305,Tavern in the Square,5081.808733716,2,3.0,372,"['161 Brighton Ave', 'Allston, MA 02134']"
306,Hopewell Bar & Kitchen,5114.578436664,2,4.0,106,"['1277 Commonwealth Ave', 'Boston, MA 02134']"
307,Natalie's Pizzeria,5178.007354083999,2,2.5,99,"['1312 Commonwealth Ave', 'Allston, MA 02134']"
308,Neptune Convenience & Liquor,5184.739223304,4,3.0,2,"['3 Neptune Rd', 'Boston, MA 02128']"
309,Sheesha Lounge,5226.036175175999,2,3.5,83,"['417 Cambridge St', 'Allston, MA 02134']"
310,La Quinta Inn & Suites Boston Somerville,5292.066107904,2,3.0,36,"['23 Cummings St', 'Somerville, MA 02145']"
311,Domino's Pizza,5335.257252955999,2,2.0,47,"['450 Cambridge St', 'Allston, MA 02134']"
312,The Washington Square Tavern,5346.330799627999,2,4.0,270,"['714 Washington St', 'Brookline, MA 02445']"
313,Galway House,5384.7872664,2,4.0,166,"['710 Centre St', 'Jamaica Plain, MA 02130']"
314,Costello's Tavern,5416.172293211999,1,3.0,124,"['723 Centre St', 'Jamaica Plain, MA 02130']"
315,HappySpeedy,5429.540275922,1,4.5,22,"['30 Penniman Rd', 'Allston, MA 02134']"
316,"Boston Standard Plumbing, Heating & Cooling",5442.051928817999,2,4.0,100,"['77 Park St', 'Dorchester, MA 02122']"
317,Deep Ellum,5448.270418577999,2,4.0,983,"['477 Cambridge St', 'Allston, MA 02134']"
318,Lone Star Taco Bar,5451.485879897999,2,4.0,400,"['479 Cambridge St', 'Allston, MA 02134']"
319,The Abbey,5478.3301538999995,2,4.0,374,"['1657 Beacon St', 'Brookline, MA 02445']"
320,Midway Cafe,5506.62798379,1,4.0,67,"['3496 Washington St', 'Jamaica Plain, MA 02130']"
321,Mike's Roast Beef,5580.693833939999,1,3.5,85,"['115 Broadway', 'Everett, MA 02149']"
322,The Publick House,5611.222530937999,2,4.0,1052,"['1648 Beacon St', 'Brookline, MA 02445']"
323,Harry's Bar & Grill,5643.73087707,2,4.0,275,"['1430 Commonwealth Ave', 'Brighton, MA 02135']"
324,Fairsted Kitchen,5655.498853951999,3,4.0,147,"['1704 Beacon St', 'Brookline, MA 02445']"
325,Milano Pizza & Pasta,5870.205892306,2,3.0,37,"['60 Washington St', 'Brighton, MA 02135']"
326,Towneplace Suites Boston Logan Airport/Chelsea,5870.992054896,2,4.5,23,"['30 Eastern Ave', 'Chelsea, MA 02150']"
327,CVS/pharmacy,5983.8014780739995,2,2.5,80,"['36 White St', 'Cambridge, MA 02140']"
328,Hotel Boston,5984.817132548,2,2.5,7,"['1650 Commonwealth Ave', 'Boston, MA 02135']"
329,Article 24,6041.787446679999,2,4.0,117,"['458 Western Ave', 'Brighton, MA 02135']"
330,Star Market,6056.144046952,2,1.5,22,"['49 White St', 'Cambridge, MA 02140']"
331,AC Hotel by Marriott Boston North,6115.948569757999,2,4.0,19,"['95 Station Lndg', 'Medford, MA 02155']"
332,Residence Inn Boston Logan Airport/Chelsea,6166.376594922,2,4.5,30,"['200 Maple St', 'Chelsea, MA 02150']"
333,Courtyard by Marriott Boston Logan Airport,6297.510607075999,2,3.0,77,"['225 William F McClellan Hwy', 'Boston, MA 02128']"
334,Comfort Inn,6446.295538481999,2,2.5,31,"['900 Morrissey Blvd', 'Boston, MA 02122']"
335,Tedeschi Food Shops,6496.516763455999,2,3.5,2,"['1912 Beacon St', 'Boston, MA 02135']"
336,CitySide,6634.351262699999,2,3.0,257,"['1960 Beacon St', 'Brighton, MA 02135']"
337,Pockets Billiard Club,6763.19582777,1,3.0,7,"['981 Bennington St', 'Boston, MA 02128']"
338,Hilton Garden Inn Boston Logan,6773.836622915999,2,4.5,30,"['100 Boardman St', 'Boston, MA 02128']"
339,Carter's Babies & Kids,6817.297815219999,2,4.0,6,"['Fellsway Plaza', '722 Fellsway', 'Medford, MA 02155']"
340,Happy Garden Chinese,6826.04457812,1,2.0,100,"['377 Washington St', 'Brighton, MA 02135']"
341,Golden Light Restaurant,6905.0422507,1,2.0,93,"['24 College Ave', 'Somerville, MA 02144']"
342,McDonald's,6975.781434136,1,3.5,32,"['1750 Soldiers Field Rd', 'Brighton, MA 02135']"
343,IHOP,7188.416769107999,2,2.5,146,"['1850 Soldiers Field Rd', 'Brighton, MA 02135']"
344,Springhouse Senior Living,7223.139567079999,,3.0,2,"['44 Allandale St', 'Boston, MA 02130']"
345,Regal Cafe & Pizzeria,7239.20078028,4,1.0,31,"['686 Morton St', 'Mattapan, MA 02126']"
346,Groovy Baby Music,7260.401420769999,2,5.0,10,"['1156 Washington St', 'Dorchester, MA 02124']"
347,Hotel Tria,7393.2033529,3,1.5,8,"['220 Alewife Brook Pkwy', 'Cambridge, MA 02138']"
348,Walgreens,7444.882478979999,2,4.5,3,"['757 Gallivan Blvd', 'Dorchester, MA 02122']"
349,Walgreens,7458.54899426,2,2.5,6,"['1010 Broadway', 'Chelsea, MA 02150']"
350,Wok n Talk,7525.879434642,2,3.5,30,"['525 Washington St', 'Brighton, MA 02135']"
351,Met Boston Limo,7533.541019579999,,5.0,26,"['185 Alewife Brook Pkwy', 'Ste 407', 'Cambridge, MA 02138']"
352,Papa John's Pizza,7539.117865482,1,2.5,53,"['533 Washington St', 'Brighton, MA 02135']"
353,CVS/pharmacy,7563.584661502,1,2.5,14,"['215 Alewife Brook Pkwy', 'Cambridge, MA 02138']"
354,Miyuki Sushi,7602.61389238,2,4.0,26,"['547 Washington St', 'Brighton, MA 02135']"
355,Walgreens,7749.410323282,4,3.0,10,"['317 Ferry St', 'Everett, MA 02149']"
356,P & R Ice Cream,7751.765431437999,1,3.5,19,"['1284 Blue Hill Ave', 'Mattapan, MA 02126']"
357,Best Western Adams Inn,7762.0962677,2,2.5,56,"['29 Hancock St', 'Quincy, MA 02171']"
358,Hampton Inn Boston-Logan Airport,7987.979045816,2,3.5,62,"['230 Lee Burbank Hwy', 'Revere, MA 02151']"
359,"Homewood Suites by Hilton Boston/Cambridge-Arlington, MA",8028.514457999999,2,3.5,25,"['1 Massachusetts Ave', 'Arlington, MA 02474']"
360,Cathay Pacific Restaurant,8037.295660775999,2,3.0,167,"['111 Hancock St', 'North Quincy, MA 02171']"
361,Dunkin' Donuts,8085.534983539999,1,2.5,7,"['4165 Washington St', 'Roslindale, MA 02131']"
362,Medford Square Mobil,8114.260093199999,4,2.0,7,"['1 Mystic Ave', 'Medford, MA 02155']"
363,Pizza Days,8116.08830344,2,2.0,96,"['364 Boston Ave', 'Medford, MA 02155']"
364,Napper Tandy's,8161.035560299999,2,3.5,44,"['4195 Washington St', 'Roslindale, MA 02131']"
365,Hyatt Place Boston Medford,8189.5279593959995,2,3.5,65,"['116 Riverside Ave Ne', 'Medford, MA 02155']"
366,Midnight Munchies,8235.09577776,1,5.0,3,"['41 Hunnewell Ave', 'Boston, MA 02135']"
367,Helen's Roast Beef & Pizzeria,8267.450592856,1,3.0,85,"['321 Boston Ave', 'Medford, MA 02155']"
368,AC Hotel by Marriott Boston Cambridge,8330.51113235,2,4.5,9,"['10 Acorn Park Dr', 'Cambridge, MA 02140']"
369,Revere Hookah & Lounge,8358.293007835999,4,2.5,5,"['10 Winthrop Ave', 'Revere, MA 02151']"
370,Imperial Kitchen,8378.9562897,2,2.0,29,"['50 Corinth St', 'Roslindale, MA 02131']"
371,Volare Restaurant and Bar,8449.871534932,2,4.0,116,"['388 Broadway', 'Revere, MA 02151']"
372,Daily Mart,8484.54186842,2,5.0,1,"['267 Spring St', 'Medford, MA 02155']"
373,Walgreens,8529.975789696,2,2.5,7,"['430 Broadway', 'Revere, MA 02151']"
374,Domino's Pizza,8830.00923018,2,1.5,22,"['570 Broadway', 'Revere, MA 02151']"
375,Las Delicias Colombianas,9054.196729539999,2,2.5,5,"['86 Shirley Ave', 'Revere, MA 02151']"
376,Comfort Inn & Suites Logan International Airport,9138.50200544,2,4.0,70,"['85 American Legion Hwy', 'Revere, MA 02151']"
377,Laundromax,9260.40629176,1,2.0,5,"['120 VFW Parkway', 'Revere, MA 02151']"
378,Peter's Super Beef,9264.40872034,1,4.0,43,"['1485 N Shore Rd', 'Revere, MA 02151']"
379,7-Eleven,9308.560641372,1,2.5,6,"['1710 Centre St', 'West Roxbury, MA 02132']"
380,goBrands Boston,9521.244900279999,2,4.0,12,"['Watertown, MA 02472']"
381,Rodeway Inn Logan International Airport,9582.24130029,2,3.0,25,"['309 American Legion Hwy', 'Route 60 West', 'Revere, MA 02151']"
382,IHOP,9847.416275439999,1,3.0,46,"['105 Squire Rd', 'Revere, MA 02151']"
383,Wendy's,9859.17813683,1,1.0,5,"['39 Squire Rd', 'Revere, MA 02151']"
384,Corrib Pub & Restaurant,10313.857081264,2,3.5,54,"['2030 Centre St', 'West Roxbury, MA 02132']"
385,Kelly's Roast Beef,11054.269353744001,2,3.5,294,"['410 Revere Beach Blvd', 'Revere, MA 02151']"
